1,2,3,4,5,6
1,2,8,19,31,33
6,10,13,20,23,35
3,4,5,15,24,33
1,8,18,25,29,30
1,4,5,24,31,32
9,16,17,21,26,29
17,19,21,23,25,34
3,13,21,24,27,35
1,14,15,17,28,37
8,9,10,18,29,32
7,10,11,19,22,29
10,13,17,22,29,35
2,3,5,8,14,19
6,7,14,19,20,23
9,15,17,23,26,29
2,12,19,29,30,33
15,20,27,29,36,37
7,14,15,20,27,36
1,3,9,26,29,34
1,3,5,11,25,31
1,11,12,13,18,36
2,16,26,27,33,35
9,10,18,19,29,35
8,18,21,23,33,36
3,9,16,27,34,37
1,4,16,21,22,35
1,2,4,8,18,21
10,12,19,23,27,30
7,16,20,30,32,33
1,22,27,30,31,37
14,22,25,28,33,34
9,12,15,25,29,30
4,8,11,12,15,25
2,5,12,15,16,34
3,9,10,16,27,31
2,15,17,18,31,33
6,7,16,30,32,36
2,6,9,11,33,37
3,5,7,23,26,36
3,24,26,27,32,37
8,16,18,19,35,36
8,17,21,27,33,34
7,12,17,19,36,37
1,5,10,11,23,34
8,9,30,31,33,36
7,10,12,15,18,34
1,6,9,12,28,29
4,8,9,28,33,37
6,8,14,15,23,36
16,20,21,23,34,36
4,24,28,30,32,34
1,5,10,13,30,33
6,13,15,20,29,31
6,8,10,12,25,34
12,15,17,20,21,23
5,11,13,18,32,37
15,20,23,26,28,37
3,15,19,26,27,31
3,4,19,27,32,33
8,17,22,24,28,33
8,15,16,23,27,33
13,18,20,23,26,36
4,9,20,23,32,37
7,9,17,20,22,26
2,9,13,31,34,37
6,9,19,21,28,36
7,8,21,24,26,30
1,4,15,26,33,37
2,6,10,12,24,31
1,2,17,19,36,37
14,17,27,29,33,35
7,16,17,22,26,29
7,12,24,28,32,34
5,10,14,20,23,28
8,16,17,20,29,30
7,11,22,28,31,32
7,20,24,26,33,36
4,10,11,14,15,33
10,12,13,17,30,31
3,5,8,9,19,36
11,14,16,30,32,35
4,6,12,20,31,36
8,26,28,29,33,35
4,8,24,25,30,31
15,19,21,30,32,35
1,3,9,23,25,27
2,6,12,13,26,37
1,2,11,16,28,37
6,11,15,20,36,37
4,5,8,17,26,36
15,18,21,28,31,33
6,21,25,26,30,35
4,11,25,26,28,37
2,12,13,23,25,30
3,9,10,17,24,32
13,17,18,23,25,27
2,4,10,11,18,35
1,11,21,23,27,36
16,24,28,34,35,36
15,18,23,25,29,37
10,16,19,23,24,28
4,12,20,30,35,37
2,11,13,27,28,31
11,13,14,17,21,23
8,9,23,24,28,33
2,8,15,16,23,33
8,11,14,16,18,29
2,10,13,16,32,37
2,13,19,20,22,25
7,12,13,21,28,35
3,4,9,19,22,26
3,6,8,13,18,27
12,18,20,26,29,37
1,2,8,19,28,30
3,16,22,25,26,37
2,10,19,32,33,37
2,5,22,26,30,33
7,9,10,21,24,33
8,14,15,20,32,33
4,6,13,14,16,31
9,11,15,21,23,24
4,9,13,14,25,34
1,5,10,21,22,33
1,13,14,17,19,20
1,5,9,24,36,37
4,6,14,20,28,31
10,11,12,20,26,35
4,8,13,17,28,29
11,22,23,25,32,34
2,5,11,18,24,25
2,15,19,33,34,36
1,2,13,14,22,36
3,5,13,23,24,35
1,3,4,13,20,37
2,6,10,11,16,35
2,5,6,7,15,30
2,7,8,10,30,31
5,13,15,21,22,33
3,5,7,9,19,27
1,7,16,23,28,34
1,5,25,27,28,31
8,16,22,26,28,34
11,12,18,33,35,36
4,5,14,17,24,32
1,6,12,14,18,34
1,5,24,25,29,35
7,13,15,22,29,34
7,20,24,26,27,37
8,15,19,23,27,37
14,16,22,23,29,30
4,12,13,15,16,24
8,10,15,20,23,32
5,9,18,21,30,33
5,22,26,31,33,36
3,7,12,13,20,31
3,16,18,20,30,36
6,21,28,30,32,35
14,17,19,20,28,29
2,4,17,31,33,35
3,7,12,16,23,37
6,14,17,22,24,33
1,9,17,22,33,36
2,9,11,13,35,37
12,24,25,28,34,37
5,12,14,16,17,24
6,19,20,25,27,32
12,13,16,21,25,33
1,10,17,20,35,36
1,5,12,27,32,36
3,9,11,22,26,34
3,8,9,16,20,21
3,5,19,20,31,37
8,10,16,18,23,30
1,15,21,25,33,37
9,16,19,23,26,33
3,4,12,16,22,31
5,8,9,11,18,22
1,5,22,27,28,29
2,13,21,22,23,25
4,17,25,27,34,37
2,20,24,25,32,34
9,19,22,24,29,34
5,6,12,18,23,31
5,10,14,23,26,35
1,17,23,24,32,37
5,11,14,24,30,36
3,17,19,22,23,28
20,22,31,32,36,37
2,8,15,22,24,35
5,10,12,14,24,29
1,8,14,19,29,37
2,5,12,17,23,32
5,6,13,16,20,28
6,19,23,28,33,34
4,6,24,26,35,36
4,5,8,13,17,28
3,6,14,22,32,37
2,12,19,20,21,36
11,12,29,31,34,35
2,6,7,19,24,28
6,20,21,24,30,31
1,12,14,17,24,28
15,18,21,24,28,34
5,9,14,27,29,34
10,20,24,26,28,35
4,17,20,21,33,34
4,6,7,15,16,34
1,3,11,13,25,34
12,13,17,21,23,25
3,6,10,12,30,36
4,9,12,30,31,33
6,20,22,30,32,33
10,12,18,28,34,37
1,7,9,21,31,36
1,4,8,27,28,33
10,12,13,24,25,31
22,24,26,27,28,29
1,6,13,21,25,28
1,3,18,19,25,30
3,5,10,11,18,23
5,6,8,18,20,30
18,19,28,30,32,35
5,12,15,22,24,31
13,14,21,24,27,30
7,8,18,23,25,37
5,15,26,28,32,37
2,13,22,23,25,30
1,13,25,27,33,37
9,16,22,26,30,36
5,8,10,12,14,22
20,21,23,26,29,33
10,11,14,19,24,35
2,7,12,20,21,29
8,9,13,24,26,34
5,7,10,13,20,29
1,2,6,8,20,37
1,13,16,32,33,37
15,16,18,20,28,37
3,7,9,23,25,33
11,13,17,18,32,35
11,19,23,27,30,36
14,19,21,22,23,32
4,10,15,18,26,32
2,4,20,23,25,35
7,21,25,27,30,31
6,16,18,28,33,37
1,15,22,23,29,33
7,8,15,20,27,29
4,8,10,14,21,35
5,6,12,16,25,33
1,19,20,32,34,35
5,9,13,14,17,33
9,21,25,27,32,34
8,12,26,28,32,33
12,14,16,17,31,36
3,4,17,22,27,34
1,4,6,30,35,36
5,9,12,28,30,36
8,21,23,24,36,37
6,16,23,25,27,30
7,14,16,31,32,35
2,6,9,27,35,37
1,7,12,18,31,33
1,5,8,15,17,31
2,17,18,29,31,32
2,11,16,21,22,31
1,6,7,16,26,36
4,13,15,22,30,37
2,5,12,14,29,33
2,3,5,9,24,32
6,15,28,31,34,35
2,15,20,26,27,30
8,9,10,17,30,34
9,10,16,20,32,34
6,17,20,25,33,36
2,5,8,22,24,29
6,7,14,19,20,28
4,7,9,14,20,22
2,10,15,17,18,24
3,8,31,32,34,35
2,6,14,19,27,29
10,16,19,30,34,37
1,19,21,26,30,33
9,11,14,19,23,33
1,11,27,29,33,37
3,13,20,26,29,35
1,15,19,23,28,32
5,14,15,19,20,31
4,5,10,16,17,18
3,4,6,8,14,35
1,5,12,22,34,37
8,14,16,26,32,35
6,8,12,13,32,35
1,22,32,33,35,37
3,19,25,30,33,34
5,6,7,14,26,37
2,11,22,32,35,37
2,8,16,19,29,33
7,16,17,27,32,37
3,12,13,17,18,36
6,10,29,32,33,34
1,7,10,24,28,37
1,4,6,17,20,34
1,3,18,21,23,36
2,6,9,12,16,18
4,5,6,9,20,37
9,16,21,25,27,36
11,13,17,24,34,36
1,13,15,27,31,35
11,17,25,33,35,36
6,10,22,25,30,37
1,14,25,29,30,33
11,19,20,27,30,37
6,10,11,24,32,36
4,13,17,28,35,37
1,10,28,31,32,35
14,17,25,26,29,35
3,4,7,18,22,23
13,15,16,28,31,32
1,10,12,14,27,29
4,18,19,23,24,37
8,18,26,29,31,36
1,28,29,30,32,34
10,11,14,24,27,35
17,22,26,28,34,36
3,10,11,17,24,36
4,11,16,25,35,36
1,9,13,19,20,34
4,7,8,9,16,31
4,13,17,19,25,37
3,13,14,20,22,23
10,12,15,19,27,28
1,6,19,22,25,32
4,5,19,24,31,37
1,4,11,14,17,22
3,10,16,25,29,32
17,20,22,24,28,32
3,27,29,31,32,33
1,8,13,21,25,31
1,12,16,20,30,36
6,18,19,23,24,28
7,8,11,14,16,22
9,10,11,13,15,21
1,12,17,21,25,26
8,19,26,30,31,36
2,8,15,27,31,35
1,8,15,22,31,35
12,13,15,17,25,31
10,13,14,19,20,25
1,3,6,9,14,28
3,4,5,18,23,29
4,5,19,25,31,32
1,11,17,21,33,34
4,6,10,18,22,25
1,15,20,22,23,31
3,5,7,18,23,27
3,22,24,25,28,37
7,11,12,25,28,31
6,20,25,30,33,35
12,14,15,18,20,21
11,14,19,20,21,26
2,21,25,27,28,36
20,25,28,34,36,37
5,6,12,16,29,34
12,15,21,24,30,32
3,9,23,24,25,26
3,9,11,13,21,25
10,11,17,21,23,32
